Delitos Faltas: Nivel 1;Delitos Faltas: Nivel 2;Delitos Faltas: Nivel 3;Delitos Faltas: Nivel 4;Delitos Faltas: Nivel 5;Edad;Periodo;Total
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2022;2.221
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2021;2.156
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2020;1.711
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2019;2.182
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2018;2.044
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2017;1.568
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2016;1.338
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2015;743
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2014;607
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;Total;2013;676
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2023;461
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2022;463
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2021;376
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2020;312
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2019;438
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2018;388
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2017;294
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2016;269
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2015;167
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2014;116
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;14 años;2013;121
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2023;543
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2022;540
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2021;578
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2020;404
